Title,Year,Score,Adjusted Score,Rank,Consensus,Directors,Cast,Synopsis
The Running Man,1987,66,67.925,113,The Running Man is winking sci-fi satire with ridiculous clothes and workmanlike direction.,Paul Michael Glaser,"Arnold Schwarzenegger, Maria Conchita Alonso, Richard Dawson, Yaphet Kotto","In the year 2019, America is a totalitarian state where the favorite television program is ""The Running Man"" -- a..."
Code of Silence,1985,70,70.82,112,No consensus yet.,Andrew Davis,"Chuck Norris, Henry Silva, Bert Remsen, Mike Genovese","In Chicago, honor-driven Sgt. Eddie Cusack (Chuck Norris) and his team stake out a drug exchange involving notorious drug czar..."
Shoot 'Em Up,2007,67,72.962,111,"As preposterous and over-the-top as Shoot 'Em Up may be, its humor and non-stop action make for a very enjoyable film.",Michael Davis,"Clive Owen, Paul Giamatti, Monica Bellucci, Daniel Pilon","After saving a newborn infant from assassins, carrot-crunching gunman Mr. Smith (Clive Owen) teams up with a prostitute named DQ..."
Crank,2006,61,64.693,110,"Crank's assaultive style and gleeful depravity may turn off casual action fans, but audiences seeking a strong dose of adrenaline will be thrilled by Jason Statham's raucous race against mortality.",Mark Neveldine,"Jason Statham, Amy Smart, Jose Pablo Cantillo, Efren Ramirez","Chev Chelios (Jason Statham), a hit man wanting to go straight, lets his latest target slip away, then he awakes..."
Machete,2010,72,79.67,109,"Machete is messy, violent, shallow, and tasteless -- and that's precisely the point of one of the summer's most cartoonishly enjoyable films.",Robert Rodriguez,"Danny Trejo, Robert De Niro, Jessica Alba, Steven Seagal","After nearly being killed during a violent fight with a powerful drug lord, a former Mexican Federale known as Machete..."
Drive,2011,93,103.415,108,"With its hyper-stylized blend of violence, music, and striking imagery, Drive represents a fully realized vision of arthouse action.",Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks","Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior,..."
Batman,1989,72,78.119,107,"An eerie, haunting spectacle, Batman succeeds as dark entertainment, even if Jack Nicholson's Joker too often overshadows the title character.",Tim Burton,"Jack Nicholson, Michael Keaton, Kim Basinger, Robert Wuhl","Having witnessed his parents' brutal murder as a child, millionaire philanthropist Bruce Wayne (Michael Keaton) fights crime in Gotham City..."
Under Siege,1992,79,80.82,106,"A well-directed action thriller that makes the most of its confined setting, Under Siege marks a high point for early '90s action -- and its star's spotty filmography.",Andrew Davis,"Steven Seagal, Tommy Lee Jones, Gary Busey, Erika Eleniak","A heroic loner takes on a group of nuclear terrorists in this seagoing tale. Posing as a rock band, the..."
Independence Day,1996,67,71.605,105,"The plot is thin and so is character development, but as a thrilling, spectacle-filled summer movie, Independence Day delivers.",Roland Emmerich,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell","In the epic adventure film ""Independence Day,"" strange phenomena surface around the globe. The skies ignite. Terror races through the..."
Bullitt,1968,98,101.574,104,Steve McQueen is cool as ice in this thrilling police procedural that also happens to contain arguably the greatest movie car chase ever.,Peter Yates,"Steve McQueen, Robert Vaughn, Jacqueline Bisset, Don Gordon",Senator Walter Chalmers (Robert Vaughn) is aiming to take down mob boss Pete Ross (Vic Tayback) with the help of...
Wanted,2008,71,79.847,103,"Wanted is stylish, energetic popcorn fare with witty performances from Angelina Jolie (playing an expert assassin), James McAvoy, and Morgan Freeman that help to distract from its absurdly over-the-top plot.",Timur Bekmambetov,"James McAvoy, Morgan Freeman, Angelina Jolie, Terence Stamp","Wesley Gibson (James McAvoy) is an office worker whose life is going nowhere. After his estranged father is murdered, he..."
Superman: The Movie,1978,94,101.423,102,"Superman deftly blends humor and gravitas, taking advantage of the perfectly cast Christopher Reeve to craft a loving, nostalgic tribute to an American pop culture icon.",Richard Donner,"Christopher Reeve, Gene Hackman, Marlon Brando, Margot Kidder","Just before the destruction of the planet Krypton, scientist Jor-El (Marlon Brando) sends his infant son Kal-El on a spaceship..."
